date,type_energie,consommation_kwh,montant_eur
2025-01-05,electricite,320,54.40
2025-01-05,gaz,410,61.50
2025-02-05,electricite,295,50.15
2025-02-05,gaz,530,79.50
2025-03-05,electricite,,48.20
2025-03-05,gaz,470,70.50
2025-04-05,electricite,260,44.20
2025-04-05,gaz,-15,invalide
2025-05-05,electricite,310,52.70
2025-05-05,gaz,180,27.00
2025-06-05,electricite,340,57.80
2025-06-05,gaz,90,13.50
2025-07-05,electricite,410,69.70
2025-07-05,gaz,60,9.00
2025-08-05,electricite,,71.00
2025-08-05,gaz,55,8.25
2025-09-05,electricite,300,51.00
2025-09-05,gaz,140,21.00
2025-10-05,electricite,290,49.30
2025-10-05,gaz,320,48.00
2025-11-05,electricite,350,59.50
2025-11-05,gaz,480,72.00
2025-12-05,electricite,520,88.40
2025-12-05,gaz,600,90.00
